mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7.349565839767456,0.27616435493171665,0.0187469482421875,0.006253926101768251,0.1,0.05,365,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 365}",0.6071205808238318,0.5833489557946835,0.5901781669938094,0.5064107403492878,0.5033783783783783,0.5581233411377876,0.04412524952559085,36,0.6474052493240504,0.6212635077925572,0.5865507095148789,0.5168898540234045,0.5149188487950703,0.5774056338899922,0.053803066077528494
5.902469682693481,0.05210699042170733,0.015613460540771484,1.5948474402629424e-05,0.1,0.3,365,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.3, 'SVM__n_iter': 365}",0.7445922007933935,0.7236449077024983,0.7427839851024208,0.714957974734511,0.7503397252000604,0.735265811808435,0.013548639453234408,16,0.7430878090446895,0.7450070898500184,0.7500685464854845,0.7554539500793573,0.735005945917998,0.7457246682755095,0.006868582920793619
5.77088737487793,0.09139408097864476,0.015898656845092774,0.0005559873703414566,0.1,0.55,365,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.55, 'SVM__n_iter': 365}",0.7619383248920936,0.7394923324959695,0.7512959887261562,0.7157821229050279,0.7591977452312646,0.7455491047969313,0.016794515911603785,9,0.7486952057052955,0.7585535293485263,0.7523611326542923,0.7527034733875125,0.7420141385939432,0.750865495937914,0.005436499508686962
5.72974123954773,0.08890325102532692,0.018731975555419923,0.006246031653801188,0.1,0.8,365,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 365}",0.7686497342880667,0.7247697249197006,0.7368513765161809,0.6964429513312194,0.7545422517489555,0.7362667607276313,0.02490641651459053,13,0.74354825540681,0.745585813080636,0.7448402122669223,0.753435549852488,0.7401528077423842,0.7455125276698481,0.004377593459499015
6.660513925552368,0.1552312230678609,0.015603017807006837,1.2441155726910012e-05,0.01,0.05,365,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 365}",0.6298370799131758,0.611688100683639,0.6425021390105188,0.5953369570688006,0.647157632492828,0.6253030542710761,0.019370130853167387,35,0.676952323978382,0.6758647694484354,0.6776525139717321,0.6884648407449709,0.6568754866800469,0.6751619869647134,0.010210425514880833
5.558991098403931,0.058643186031609465,0.01873936653137207,0.006241260020858789,0.01,0.3,365,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 0.3, 'SVM__n_iter': 365}",0.7862016915745615,0.7471535875420245,0.791144496451759,0.7382606069756907,0.7942586441189792,0.7714053647126186,0.023734327000124227,1,0.7920124921099984,0.8032136991439603,0.7998074431299187,0.8048371883876769,0.7842454324539014,0.7968232510450912,0.007685198020595589
5.441762685775757,0.08125202954753523,0.018738698959350587,0.006247078747916568,0.01,0.55,365,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 0.55, 'SVM__n_iter': 365}",0.7750492752176841,0.76018896929249,0.7855579042729881,0.7345362121898436,0.794950676933917,0.7700566419153938,0.021176644218476554,3,0.7860482789590535,0.7886192801546191,0.7885223414539375,0.7975622519596463,0.776306574352177,0.7874117453758867,0.00679570764428621
5.557746934890747,0.18203387669923876,0.01873292922973633,0.006251269287792541,0.01,0.8,365,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 365}",0.769834834460218,0.7249446964868208,0.7687729629070411,0.7305727515224723,0.7723400775076753,0.7532944458988049,0.020956800078743835,6,0.7800530553540529,0.7671939652703283,0.7699623033499255,0.7929563198292839,0.7579451252089687,0.773622153802512,0.011963710205281313
5.713595342636109,0.06475850934369662,0.018727540969848633,0.006252050564344825,0.001,0.05,365,"{'SVM__alpha': 0.001, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 365}",0.7357725605648562,0.7052978890930224,0.7685653530625598,0.6866852886405959,0.7827708993910111,0.7358094681083355,0.03638139387787808,14,0.9415888657553518,0.9403577647393939,0.945096615292055,0.9426054401624434,0.935536534885069,0.9410370441668625,0.0031610603817280028
5.11832332611084,0.024829778325519882,0.02186136245727539,0.007665213659444295,0.001,0.3,365,"{'SVM__alpha': 0.001, 'SVM__gamma_frac': 0.3, 'SVM__n_iter': 365}",0.7733963723459994,0.7478722207641257,0.7991783683124466,0.7366123106346569,0.7964668579193718,0.7707001353557257,0.025152765697606532,2,0.8168577538696334,0.8288646744985902,0.8261269433907872,0.8328668255378352,0.8193040220727518,0.8248040438739196,0.005943752972781671
5.070799875259399,0.034384799648058934,0.018733739852905273,0.0062489576659881555,0.001,0.55,365,"{'SVM__alpha': 0.001, 'SVM__gamma_frac': 0.55, 'SVM__n_iter': 365}",0.7893515630847534,0.7508779823278717,0.7946298253560822,0.7205194020836478,0.7898170516885599,0.7690457178876966,0.02891786817481541,4,0.7970196990965359,0.8117348592270454,0.7966449041367607,0.8004889910427371,0.7969664850772342,0.8005709877160626,0.005755987716670934
