param_Boost__n_estimators,train acc,test acc
1,0.9450043451820661,0.7249164701257862
2,0.9450043451820661,0.7249164701257862
5,0.9450043451820661,0.7249164701257862
10,0.9450043451820661,0.7249164701257862
20,0.9450043451820661,0.7249164701257862
30,0.9450043451820661,0.7249164701257862
40,0.9450043451820661,0.7249164701257862
50,0.9450043451820661,0.7249164701257862
60,0.9450043451820661,0.7249164701257862
70,0.9450043451820661,0.7249164701257862
80,0.9450043451820661,0.7249164701257862
90,0.9450043451820661,0.7249164701257862
100,0.9450043451820661,0.7249164701257862
