,train,test
0.1,0.6563801454258282,0.00021718306197726633
0.2,0.6186862125005064,0.00028840114100603387
0.3,0.7478578435811869,0.0003310678284833557
0.4,0.6645480892066189,0.000382396174245514
0.5,0.5960205775336362,0.00041928842165361857
0.6,0.511317900182803,0.0004529726493274211
0.7,0.511190862528565,0.000534777199391101
0.8,0.46775072132368223,0.0005970128186163493
0.9,0.49699985820552683,0.0006217145846676431
