mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12483644485473633,0.002927479957666945,0.0031084537506103514,0.00020041854327308492,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.6676168259274968,0.6845200154974816,0.6647352659922491,0.6596268055765262,0.670428808696965,0.669388927370331,0.008368557822488687,1,0.7924674429486152,0.7929822647813761,0.7890350691653623,0.8007780613643807,0.7790778108367684,0.7908681298193004,0.0070371279002518754
0.12974419593811035,0.0033788569007674914,0.003703451156616211,0.0007521181170602926,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.6676168259274968,0.6845200154974816,0.6647352659922491,0.6596268055765262,0.670428808696965,0.669388927370331,0.008368557822488687,1,0.7924674429486152,0.7929822647813761,0.7890350691653623,0.8007780613643807,0.7790778108367684,0.7908681298193004,0.0070371279002518754
0.21640710830688475,0.010041448489419494,0.0031042575836181642,0.00019071652801123582,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.5,0.6854136202867036,0.49999999999999994,0.49999999999999983,0.7091889375408927,0.5789055325939878,0.09694283646953143,13,0.49999999999999983,0.7734520232556495,0.5,0.5,0.7593395565708269,0.6065583159652953,0.130583031913157
0.20966215133666993,0.005662122826707878,0.003515481948852539,0.000544347868238195,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.5,0.6874507892467474,0.49999999999999994,0.49999999999999983,0.7104660526448234,0.5795684035837143,0.0977341685402981,11,0.49999999999999983,0.7609516014743122,0.5,0.5,0.753481378074212,0.6028865959097048,0.12603197154133186
0.220405912399292,0.010806348148468146,0.0037164688110351562,0.0007445249786656886,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.5,0.6854136202867036,0.49999999999999994,0.49999999999999983,0.7091889375408927,0.5789055325939878,0.09694283646953143,13,0.49999999999999983,0.7734520232556495,0.5,0.5,0.7593395565708269,0.6065583159652953,0.130583031913157
0.21196317672729492,0.011196324230712342,0.0030085563659667967,0.00031591220702644775,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.5,0.6874507892467474,0.49999999999999994,0.49999999999999983,0.7104660526448234,0.5795684035837143,0.0977341685402981,11,0.49999999999999983,0.7609516014743122,0.5,0.5,0.753481378074212,0.6028865959097048,0.12603197154133186
0.20745105743408204,0.002216808498982996,0.003106975555419922,0.0007240155504330101,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.5,0.6820766625423369,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5364365783267336,0.07284659453971697,25,0.49999999999999983,0.7872311291106023,0.5,0.5,0.5,0.5574462258221204,0.11489245164424094
0.2369917869567871,0.028619589055319118,0.006040048599243164,0.0048665907189917096,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.5,0.6822516341094572,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.53647159305691,0.07291659847447729,24,0.49999999999999983,0.7763295528646995,0.5,0.5,0.5,0.5552659105729398,0.11053182114587984
0.22241554260253907,0.021031885134210292,0.0025808334350585936,0.004026985973047665,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.5,0.6850449301988427,0.49999999999999994,0.49999999999999983,0.6933350948714077,0.5756637579064527,0.09271712873753962,16,0.49999999999999983,0.7781630265302424,0.5,0.5,0.7371590889506199,0.6030644230961724,0.12689186440400202
0.21429591178894042,0.007694724561585719,0.0,0.0,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.5,0.684657493157362,0.49999999999999994,0.49999999999999983,0.697405506064724,0.576399595087598,0.09366816267880768,15,0.49999999999999983,0.7659827662107243,0.5,0.5,0.7320878241073681,0.5996141180636185,0.12247181506945903
0.20906610488891603,0.01584697014987714,0.0031191825866699217,0.006238365173339843,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.5,0.6845200154974816,0.49999999999999994,0.6596268055765262,0.6495231264784337,0.5987014101776312,0.08142932638988959,3,0.49999999999999983,0.7929822647813761,0.5,0.8007780613643807,0.7040906975760396,0.6595702047443592,0.13464457753718145
0.2301504135131836,0.020605468156337025,0.00398707389831543,0.006167249616971073,-0.1,balanced,entropy,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.5,0.6845200154974816,0.49999999999999994,0.6596268055765262,0.6495231264784337,0.5987014101776312,0.08142932638988959,3,0.49999999999999983,0.7929822647813761,0.5,0.8007780613643807,0.7040906975760396,0.6595702047443592,0.13464457753718145
