mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009778022766113281,0.007192990449673546,0.006359243392944336,0.0077899029916215536,1,{'Boost__n_estimators': 1},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.029286813735961915,0.007325024921162319,0.003774261474609375,0.0060898188385714045,2,{'Boost__n_estimators': 2},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04572381973266602,0.011314417660528998,0.00019993782043457032,0.0003998756408691407,5,{'Boost__n_estimators': 5},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.043750858306884764,0.011258287473679573,0.0,0.0,10,{'Boost__n_estimators': 10},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04749560356140137,0.013006015782391437,0.003319454193115234,0.006150016298304045,20,{'Boost__n_estimators': 20},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.045404481887817386,0.010258854855091357,0.006351280212402344,0.007780777688656863,30,{'Boost__n_estimators': 30},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04457025527954102,0.014668642258547077,0.0031188488006591796,0.006237697601318359,40,{'Boost__n_estimators': 40},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04636340141296387,0.011066666945131759,0.0,0.0,50,{'Boost__n_estimators': 50},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04809112548828125,0.01036348963245682,0.0002007007598876953,0.0004014015197753906,60,{'Boost__n_estimators': 60},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04709291458129883,0.014295564326858086,0.00020060539245605468,0.0004012107849121094,70,{'Boost__n_estimators': 70},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.04972858428955078,0.010861136928612966,0.00010023117065429687,0.00020046234130859374,80,{'Boost__n_estimators': 80},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.047080707550048825,0.0143655185282483,0.00019369125366210937,0.00038738250732421874,90,{'Boost__n_estimators': 90},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
0.047765588760375975,0.016427745014036994,0.0034386157989501954,0.0063892426231111216,100,{'Boost__n_estimators': 100},0.717752800578828,0.7237636384087587,0.7204690724243796,0.6679311993557803,0.7420164577985807,0.7143913330535299,0.024719446259365313,1,0.9413454925716224,0.9473714979397451,0.936554548118066,0.9547307259033643,0.9453277148716889,0.9450659958808973,0.006084040283798221
