param_SVM__n_iter,train acc,test acc
1,0.7743956630066283,0.7638397867120902
4,0.7626147545352944,0.7504850486946024
7,0.7640561223952004,0.7499130390786569
10,0.7668941353554648,0.7452287441156443
13,0.6816623434665771,0.6611918178732626
16,0.8083569520701517,0.7871425027739655
19,0.7253107027135122,0.7169992965827696
22,0.7937547452052534,0.769548990796548
25,0.7997376565936557,0.7913883038790545
28,0.5831237989228591,0.5686228833360387
31,0.8157649684968064,0.8049429641763167
34,0.7665054840342761,0.7366977898925761
37,0.7660302482459491,0.7588192428532177
40,0.7510654406908447,0.7295578590537387
43,0.8078969250317052,0.7849240330472582
46,0.8145485696697774,0.7975862459093231
49,0.8082342279993386,0.7974446489343685
52,0.716807806877186,0.6910747526620583
55,0.8015465943392733,0.788754881230706
58,0.773175349055868,0.7506828628308292
61,0.7909533235937103,0.7802720629519773
64,0.8182129749007441,0.802152484833664
67,0.8221469213424539,0.8149527810981039
70,0.7736642877772547,0.7615317208846052
73,0.8066207452769303,0.7796972424779682
