param_Boost__n_estimators,train acc,test acc
1,0.7514806734731151,0.6971386923480084
2,0.7514806734731151,0.6971386923480084
5,0.8309548562677999,0.715146750524109
10,0.90079387379504,0.7623738862683438
20,0.9232769295919944,0.7542993317610064
30,0.9232769295919944,0.7542993317610064
40,0.9232769295919944,0.7542993317610064
50,0.9232769295919944,0.7542993317610064
60,0.9232769295919944,0.7542993317610064
70,0.9232769295919944,0.7542993317610064
80,0.9232769295919944,0.7542993317610064
90,0.9232769295919944,0.7542993317610064
100,0.9232769295919944,0.7542993317610064
