mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6264554977416992,0.08729743953266243,0.013836812973022462,0.00040105586510026274,relu,10.0,"(6,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6,)}",0.7492312860081819,0.7469497481433764,0.743921332333802,0.7436054278698189,0.7764043538548782,0.7520219069098062,0.012364507304973873,159,0.752845384066619,0.7507570458644353,0.7560339982751884,0.7525379314000341,0.7659543558698265,0.7556257430952206,0.005437207081905867
0.7815791130065918,0.1324674239752279,0.013836860656738281,0.00040119903666036765,relu,10.0,"(3,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (3,)}",0.7385835610858228,0.740147435199088,0.7156372439003039,0.7402888241820561,0.7524184590229005,0.7374147980796594,0.01197030006328227,168,0.7393182517470246,0.747217134760704,0.7289017740394266,0.7458700887380857,0.7348200617408628,0.7392254622052207,0.0068412366205286065
0.6686786651611328,0.09726355968110527,0.014538955688476563,0.00031695887789583984,relu,10.0,"(12,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (12,)}",0.7391487977668414,0.7430178270596798,0.7360880333346714,0.7336615082221453,0.7562348785627843,0.7416300394211218,0.007944377732203523,162,0.7423801132690272,0.747940584827905,0.7433154834760566,0.7385057812337691,0.7393060597185325,0.7422896045050581,0.003353000332545405
0.7830830097198487,0.16821756008150465,0.014338016510009766,0.00040096045515061263,relu,10.0,"(6, 6)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6, 6)}",0.7385772455921801,0.7311028588660848,0.732832426932319,0.7392611835689408,0.7572514604292702,0.7398044464512472,0.009279021347774434,167,0.7429650338891203,0.7362175087712897,0.7415345681315761,0.7449719477376413,0.7377921292742323,0.740696237560772,0.003244219134144347
0.4778709888458252,0.003450444933076713,0.013937139511108398,0.0003751583306351601,relu,10.0,"(3, 3)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (3, 3)}",0.5,0.5,0.4999999999999997,0.4999999999999998,0.4999999999999997,0.4999999999999998,1.4476261035028975e-16,174,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5000000000000001,0.5,1.4043333874306804e-16
0.7555527210235595,0.11310676091241563,0.014700508117675782,0.0004269852065240491,relu,10.0,"(12, 12)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (12, 12)}",0.7371325764214203,0.7474334096981773,0.7363269138246611,0.7291727761304854,0.7536790573998319,0.7407489842983502,0.008700383219403602,164,0.7410970252958685,0.7489253684470724,0.7473327460355796,0.7344403864368041,0.737471876813536,0.7418534806057722,0.005563426801463665
1.0446785926818847,0.07024286249305,0.014338397979736328,0.000245593153327684,relu,10.0,"(6, 6, 6)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6, 6, 6)}",0.7383039689193506,0.7443729609507765,0.7258320669168126,0.7275671843542434,0.7483071724858384,0.7368768199537257,0.008916504668050438,169,0.7417065931173117,0.7472058744613556,0.7398252992085347,0.7318339368812233,0.7319793837342193,0.7385102174805289,0.005912448216323798
1.029538345336914,0.19463450986160857,0.014037466049194336,0.0007768490229501582,relu,10.0,"(3, 3, 3)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (3, 3, 3)}",0.7298482465821338,0.7336403715825943,0.7469161743054233,0.738933864416475,0.7538957890860045,0.7406462455390401,0.008757537405556598,165,0.7361452700947023,0.7385032281951674,0.7547970363815591,0.7448819220374105,0.7392677228645752,0.7427190359146829,0.006685135229918171
0.9602540016174317,0.11423891187093191,0.016042709350585938,0.0010517108405801359,relu,10.0,"(12, 12, 12)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (12, 12, 12)}",0.7415025690901847,0.738198776478365,0.7414548970335906,0.7357167894483759,0.75051800024948,0.7414780631355695,0.005013106244143769,163,0.7442062664555134,0.7411027613643403,0.7490512154778379,0.743448769809983,0.73528656920687,0.7426191164629089,0.004486532058509906
0.7893998622894287,0.09024598470288361,0.014238071441650391,0.0005113144969429225,relu,3.1622776601683795,"(6,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (6,)}",0.7628861727003313,0.7668886825827633,0.7633054030626985,0.7656052902937447,0.7810847050622399,0.7679536796722394,0.006728187058169184,142,0.7674201890343267,0.770008673741746,0.7752277578866874,0.7725577355323731,0.7699849158061983,0.7710398544002663,0.0026503096080241896
0.778270673751831,0.17342074251736236,0.01554107666015625,0.0020303626304369986,relu,3.1622776601683795,"(3,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (3,)}",0.7577562156298994,0.7355827148096747,0.7410658565111138,0.764444220636477,0.776201577253738,0.7550090791955043,0.014949721826006032,156,0.7603739358873147,0.7415659411809018,0.7560474350638704,0.7707486403073788,0.7581555934952565,0.7573783091869444,0.009382386821954884
