mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0,0.0,0.01815338134765625,0.0030983707537058087,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7551832539108306,0.7698124054841089,0.767766369721677,0.7484271981478685,0.7785935376717499,0.7639531426180358,0.010779095958374191,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006264162063598633,0.007672000370219684,0.018140220642089845,0.0030967339779293564,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.7551832539108306,0.7698124054841089,0.767766369721677,0.7484271981478685,0.7785935376717499,0.7639531426180358,0.010779095958374191,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.03691954612731933,0.005737526192155703,manhattan,6,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.7395898305930491,0.7012235511729344,0.7304972570335698,0.7282890432331772,0.7491192309628063,0.7297412072970542,0.016054792796838094,31,0.8070541324766597,0.8091394326707508,0.8022390807407095,0.8191081749713672,0.8021294063639339,0.8079340454446843,0.006216346736024995
0.0,0.0,0.03378744125366211,0.0030939186753200375,manhattan,6,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.7514158828372546,0.7483596415582467,0.7741519452413306,0.7710126327444762,0.78311691579848,0.7655980889324351,0.013475309926339132,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9.80377197265625e-05,0.000196075439453125,0.0369049072265625,0.00573616105721982,manhattan,11,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'uniform'}",0.6855929243282354,0.6486195993151114,0.6896924857818711,0.6686232321707181,0.690384518596809,0.676579651744458,0.01605663930619688,40,0.7234766408848106,0.7319216671623414,0.724516375167841,0.730141887308011,0.7228328734843392,0.7265778888014687,0.0037188914840987526
0.0031193256378173827,0.0062386512756347655,0.03249449729919433,0.002435615335258565,manhattan,11,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}",0.7543599211596518,0.734180695636959,0.7825318335094871,0.7336114047007901,0.7871873269917963,0.7583648366998411,0.022921709015080442,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0021993637084960936,0.0018053906030733467,0.03718323707580566,0.003397406813144217,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.692716000099798,0.6510442053166361,0.6958641602496349,0.6673461170667873,0.6866601238109618,0.6787262081937082,0.01702111464049566,39,0.7119878564632066,0.7277038537866547,0.7197741334549151,0.7266178145656973,0.7022751949462047,0.7176717706433358,0.009533684985894563
0.000601816177368164,0.001203632354736328,0.043968820571899415,0.006369437987144247,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.7690738754023104,0.718333270843488,0.77739820826413,0.7348885198047209,0.7878793598067341,0.7575099610253195,0.026448731207972934,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0007021427154541016,0.0014042854309082031,0.040297746658325195,0.008745192701449927,manhattan,21,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 21, 'KNN__weights': 'uniform'}",0.6660262967490831,0.6374276680039495,0.6618413105843273,0.6606963108359755,0.6612562282953344,0.6574487261296793,0.010189224354841287,47,0.6814111562267421,0.6942414880602531,0.69961950825143,0.6947335147660879,0.674743401127766,0.6889498136864558,0.009316103391968969
0.0,0.0,0.040642070770263675,0.007651599956263125,manhattan,21,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 21, 'KNN__weights': 'distance'}",0.7653564032833513,0.7216889755414745,0.7648157934470782,0.7348885198047208,0.7835698827318938,0.7540610590799136,0.022491086279986337,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.007652568817138672,0.006636582181718071,0.034693002700805664,0.006121096817240297,manhattan,26,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 26, 'KNN__weights': 'uniform'}",0.6678850328085626,0.6599865021933936,0.6648736725552367,0.6723476269565654,0.6772170214907643,0.6684591621735438,0.005945461027033907,43,0.6764918776162616,0.6875816588287269,0.6852756665460248,0.696150272697504,0.6866375872890531,0.6864274125955141,0.006260221092230215
0.0031233787536621093,0.006246757507324219,0.037437963485717776,0.00036389047232166004,manhattan,26,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 26, 'KNN__weights': 'distance'}",0.7455839425164041,0.7297001737217701,0.7666779908400019,0.7545737077859983,0.7817076853389703,0.7556352583716187,0.017756091775931154,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0031252384185791017,0.006250476837158203,0.04271092414855957,0.009060407708230626,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.6274107432449291,0.6185932286003526,0.673253560823393,0.658355981680004,0.6529832905531229,0.6461004160072416,0.020204712020427038,49,0.6554746405142552,0.6592359911704491,0.6674343873040941,0.6742780684148763,0.6614532168278096,0.6635752608462969,0.0066090139773997735
