mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07219185829162597,0.011418857804782412,0.0005013942718505859,3.015782985847835e-07,relu,10.0,"(11,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,)}",0.5186871585040294,0.5716321097821605,0.570996275605214,0.5560735316321908,0.5608359756404449,0.5556281115735582,0.019426621470300727,37,0.5283678923254228,0.5621501667115258,0.5795989208041326,0.5742268348131541,0.5617235641665609,0.5612134757641593,0.017817643135926115
0.15591444969177246,0.010568614622849162,0.0007019519805908203,0.0002456322103311559,relu,10.0,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5,)}",0.5,0.5044805219151888,0.5109592833056519,0.5244727968191655,0.5143376616840303,0.5108418644028238,0.008439665095751907,66,0.5029071319333879,0.5090123882083278,0.5242744648282108,0.5202435397875137,0.522823629501154,0.5158522308517188,0.00840448751376832
0.09535384178161621,0.014206372449122012,0.000801992416381836,0.0002457295712230876,relu,10.0,"(22,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,)}",0.608411716274544,0.5669391223926112,0.6099954703306658,0.6346003825054104,0.6056859932558256,0.6051173137733069,0.021734255266656996,25,0.6068035366048968,0.5957973315169925,0.6043919887568096,0.6081843720280202,0.6082732866120488,0.6046901031037536,0.004662316574217745
0.04722580909729004,0.009304286794399609,0.0010017871856689454,2.7284087182846006e-06,relu,10.0,"(11, 11)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11, 11)}",0.4981412639405204,0.5016872258258033,0.5054796416528259,0.49999999999999983,0.4972067039106144,0.5005019346425306,0.0029273375074814526,103,0.49999999999999983,0.5050570601487652,0.5037641812886113,0.49953466728711027,0.5001096743767753,0.5016931166202524,0.0022644320115866807
0.020654869079589844,0.0004913516524209981,0.0007019996643066406,0.000245787821233466,relu,10.0,"(5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.06647667884826661,0.003084157845279299,0.0010025501251220703,2.611744678045111e-07,relu,10.0,"(22, 22)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22, 22)}",0.5,0.4990689013035382,0.4981378026070763,0.49999999999999983,0.49999999999999994,0.49944155807470075,0.0007447023543207601,214,0.49999999999999983,0.4997673336435552,0.49976733364355513,0.4993020009306654,0.49953466728711027,0.4996742671009772,0.00023727405833373996
0.04953155517578125,0.0002004386341584117,0.000902557373046875,0.00020070124136916157,relu,10.0,"(11, 11, 11)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11, 11, 11)}",0.5033557046979865,0.4990689013035382,0.5033783783783783,0.5030323619709094,0.49999999999999994,0.5017672090317987,0.0018507665622635487,101,0.4999120716239427,0.5009883415714749,0.5013619207430282,0.5022925861688078,0.5007528362577223,0.5010615512729952,0.0007781563876077564
0.025766420364379882,0.0007481963461813995,0.0008022308349609375,0.0002457293861629339,relu,10.0,"(5, 5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5, 5)}",0.4972118959107806,0.5067114093959733,0.5073418390457496,0.5021012632744475,0.5039634606673712,0.5034632715819218,0.0036564897738171126,82,0.5050280114683724,0.5027323583579798,0.5037982586842522,0.5041746768131133,0.5037982586842522,0.5039063128015939,0.0007391545930266185
0.07159013748168945,0.005449807870946129,0.0011027336120605468,0.0002006054207919903,relu,10.0,"(22, 22, 22)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22, 22, 22)}",0.5,0.5000000000000001,0.5024472796819165,0.4987228848960692,0.4981378026070763,0.49986171456294265,0.0014820703121092914,209,0.49999999999999983,0.5,0.4992679235350245,0.4993568381190531,0.49851508727730226,0.4994279697862759,0.0005510836819645099
0.0843238353729248,0.007391397810863721,0.0007019519805908203,0.0002455348108331199,relu,3.1622776601683795,"(11,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (11,)}",0.5281866719892218,0.5566782897779112,0.5467373798379384,0.5687628969751874,0.575972620665358,0.5552521835522182,0.01685141881682469,38,0.5416878636858945,0.5448590936448734,0.566492441085275,0.5795366414258922,0.5691481277800496,0.560344833524397,0.014639038371239591
0.1565162181854248,0.025275121712880017,0.0010026931762695313,0.00031688348154784794,relu,3.1622776601683795,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (5,)}",0.6254896334921785,0.6803894367165336,0.5843776737631485,0.5669006995822637,0.5939277266092907,0.6102464148966279,0.039918977016574535,24,0.6427144274763612,0.6303080690889601,0.5867019034771478,0.5874206623392291,0.5963791004507616,0.608704832566492,0.023291289518365718
