mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.231616258621216,0.016370295233086293,0.20404257774353027,0.0008969746963683359,1,{'SVM__n_iter': 1},0.740913240047681,0.7942173211403981,0.8043840774610004,0.7852608929532006,0.7422358576887885,0.7734021597673529,0.02668589738059518,14,0.7551379305706869,0.8019253982053242,0.7993457021882546,0.7955483522768941,0.7328899048038952,0.776969457609011,0.027886531401094723
3.6481463432312013,0.03863432153823043,0.2037219524383545,0.0012472858921603017,4,{'SVM__n_iter': 4},0.7233486184344763,0.7574394835933297,0.7753469607315759,0.7353846153846153,0.7849776629527963,0.7552939656260982,0.023258535663101716,18,0.7393641138414774,0.7766518117529734,0.7588230584774343,0.7502505787796762,0.7983664633343103,0.7646912052371743,0.02079186145384451
4.0453897476196286,0.04698264108311582,0.20653371810913085,0.005145040275109447,7,{'SVM__n_iter': 7},0.7652176247597161,0.8062399139322216,0.786820871436256,0.7887036040882194,0.7974987889552722,0.7888932783875339,0.013711638690002711,9,0.782905250911243,0.8099346764261816,0.7891180346207749,0.8140948454545168,0.7948922826902244,0.7981890180205882,0.011980822830420814
4.603009986877441,0.1351622156250067,0.20753192901611328,0.0031995428050774996,10,{'SVM__n_iter': 10},0.7430916354342293,0.8114093598708982,0.7952931683700913,0.7860355029585798,0.7764621346681737,0.7824553807515342,0.022812532190053934,11,0.7584747609248276,0.8082024546133283,0.7974038552866963,0.8154706340357336,0.7749105772255217,0.7908924564172215,0.021224743161552803
4.995081520080566,0.138478851632889,0.20463147163391113,0.0021253201706212354,13,{'SVM__n_iter': 13},0.775298274251227,0.8017966648735879,0.8228509951586874,0.7809951586874663,0.7878981645944346,0.7937667265228713,0.01702438357123313,4,0.7928814106443934,0.8135815883229448,0.8077025406211209,0.8106844465847244,0.7931419688199824,0.8035983909986332,0.008842068642579325
5.382243490219116,0.11418559075730865,0.20753393173217774,0.0034954339925039276,16,{'SVM__n_iter': 16},0.6992273327677488,0.5303388918773534,0.5340828402366863,0.589424421732114,0.6101264868938049,0.5926479501342088,0.06163161639199509,25,0.7059548211811861,0.5384636998381144,0.5352512970237271,0.6056811591981721,0.6089077987681771,0.5988517552018754,0.06214590416818736
5.784730339050293,0.03256807327696379,0.20553145408630372,0.001449011400590458,19,{'SVM__n_iter': 19},0.8051734876877974,0.6775901022054868,0.6600107584722968,0.7848628294782141,0.8014441035577804,0.745816589261041,0.06349796246184564,21,0.8163621568548334,0.6821933082778081,0.6632346230065704,0.81639904093413,0.8152238829042207,0.7586826023955124,0.07044993054053182
6.139491367340088,0.03783217061519971,0.204223108291626,0.0006723819104355485,22,{'SVM__n_iter': 22},0.7921202976836091,0.8005863367401828,0.8146691769768691,0.7810704679935448,0.7296996609074763,0.7836347613314771,0.029109446352764447,10,0.8132532381067666,0.813525056432741,0.8077770874299628,0.8117058857495205,0.7314425731714205,0.7955407681780824,0.03211474226284748
6.575487804412842,0.0553091958464162,0.2058272361755371,0.0033746852718448323,25,{'SVM__n_iter': 25},0.7929284034407587,0.7985368477676169,0.8128832705755782,0.6859924690693922,0.7937935303299425,0.7768268269931855,0.0459769283879102,13,0.8122532582818868,0.8175564322367826,0.8010778231713395,0.6946120739345706,0.8037021566313324,0.7858403488511824,0.04599429241766921
7.015247631072998,0.056278648203396515,0.2172640323638916,0.023612653917389793,28,{'SVM__n_iter': 28},0.6900557351346127,0.8022431414739106,0.7977461000537923,0.7630285099515868,0.7918553205231714,0.7689766721787195,0.04177131158820229,15,0.7010457100969751,0.8000622993529619,0.7997442822631228,0.7909209717112674,0.8015756689401538,0.7786697864728962,0.03899241517192692
7.463414859771729,0.023170353997132454,0.20452213287353516,0.0014764156551133477,31,{'SVM__n_iter': 31},0.769460582695261,0.8006078536847767,0.8220333512641205,0.6241689080150618,0.8030814360299264,0.7638674244759243,0.07185702370024837,16,0.7907476899487552,0.8141535619897047,0.8130410735439559,0.6350109255776152,0.7990767039726431,0.7704059910065348,0.06826304779343291
7.83871169090271,0.045809694712669845,0.20461835861206054,0.002272449445802051,34,{'SVM__n_iter': 34},0.7795401582920779,0.8060462614308768,0.8230661646046261,0.7758902635825712,0.7639469293288121,0.7896993477003789,0.021621299934465252,8,0.7974729653391438,0.8044955826142323,0.8118434511636728,0.8123879655234788,0.7663258228508292,0.7985051574982714,0.01698883532585225
8.282486867904662,0.056648784134134704,0.2064422607421875,0.0028970626910587195,37,{'SVM__n_iter': 37},0.7765590266218495,0.7927380311995696,0.8222431414739106,0.7855782678859602,0.7991490392378493,0.7952514843184155,0.015447888087718341,3,0.8025347684568724,0.8162324029367274,0.8165656789315324,0.8138011283388853,0.800022313687431,0.8098312584702898,0.00709282877943154
8.72233452796936,0.05835155139547273,0.20763378143310546,0.003572402316852874,40,{'SVM__n_iter': 40},0.6959916880550694,0.6575524475524475,0.8121678321678321,0.7528348574502419,0.8053113730556005,0.7447618789700776,0.06042916236672046,22,0.7257565670015738,0.6695080831528313,0.814015626866401,0.7826594846294765,0.8156197828313653,0.7615119088963296,0.05634655412230741
