param_MLP__max_iter,train acc,test acc
1,0.49510489650840034,0.4993202961215933
2,0.5021936646643372,0.4998198375262054
4,0.5201203003293507,0.5264183700209645
8,0.5638666500753634,0.5748575078616351
16,0.6137449247671365,0.623296645702306
32,0.6369851260303501,0.6178835822851153
64,0.6187208105119287,0.6318953092243187
128,0.6323393938420843,0.6285868710691824
256,0.6370117189459973,0.6400271881551364
512,0.6370117189459973,0.6400271881551364
1024,0.6370117189459973,0.6400271881551364
2048,0.6370117189459973,0.6400271881551364
2100,0.6370117189459973,0.6400271881551364
2200,0.6370117189459973,0.6400271881551364
2300,0.6370117189459973,0.6400271881551364
2400,0.6370117189459973,0.6400271881551364
2500,0.6370117189459973,0.6400271881551364
2600,0.6370117189459973,0.6400271881551364
2700,0.6370117189459973,0.6400271881551364
2800,0.6370117189459973,0.6400271881551364
2900,0.6370117189459973,0.6400271881551364
