mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5413364887237548,0.013476078395735858,0.01805424690246582,0.0009442017754968443,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
0.9412152290344238,0.030097518209253896,0.019767141342163085,0.00121109596746115,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
1.7888540267944335,0.40874542595847385,0.02245984077453613,0.001922324992194956,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
1.8843112945556642,0.3712277076538093,0.023774433135986327,0.0016945196008366166,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
1.8111330986022949,0.41075525391686585,0.024567317962646485,0.0021707186397806567,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
1.8398963451385497,0.4325887001941894,0.02356276512145996,0.0033555378050835103,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
1.838679885864258,0.440934637445588,0.022660112380981444,0.002360012645784471,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",0.8625909760016505,0.8605041658574942,0.8564276260235267,0.8645562562719715,0.8671061860193087,0.8622368540935721,0.003632131985351644,13,0.9736717480459092,0.9740469638436333,0.9712578905454247,0.9718954380538009,0.9729771961954543,0.9727698473368445,0.0010524305149019661
9.494695377349853,0.5223465024520941,0.01846590042114258,0.0012456356180663723,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",0.8530407654588812,0.8596546661761634,0.8564276260235267,0.863756406091658,0.8639952552710891,0.8593746135151394,0.004229212539447981,49,0.9590769727573478,0.9732984428998918,0.9712578905454247,0.9693584669772555,0.96663263296674,0.967924881229332,0.004939527793745072
17.930278635025026,0.3946230558042487,0.02056722640991211,0.0004478081918381691,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",0.8530407654588812,0.8596546661761634,0.8564276260235267,0.863756406091658,0.8639952552710891,0.8593746135151394,0.004229212539447981,49,0.9590769727573478,0.9732984428998918,0.9712578905454247,0.9693584669772555,0.96663263296674,0.967924881229332,0.004939527793745072
40.571410703659055,4.577873808074713,0.019668769836425782,0.006395254228061577,-0.001,5,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 5}",0.8530407654588812,0.8596546661761634,0.8564276260235267,0.863756406091658,0.8639952552710891,0.8593746135151394,0.004229212539447981,49,0.9590769727573478,0.9732984428998918,0.9712578905454247,0.9693584669772555,0.96663263296674,0.967924881229332,0.004939527793745072
35.69446511268616,4.6556717575414295,0.022030162811279296,0.007840906972844279,-0.001,10,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 10}",0.8530407654588812,0.8596546661761634,0.8564276260235267,0.863756406091658,0.8639952552710891,0.8593746135151394,0.004229212539447981,49,0.9590769727573478,0.9732984428998918,0.9712578905454247,0.9693584669772555,0.96663263296674,0.967924881229332,0.004939527793745072
34.951011991500856,4.1729497551138985,0.02679758071899414,0.007777664825805534,-0.001,20,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 20}",0.8530407654588812,0.8596546661761634,0.8564276260235267,0.863756406091658,0.8639952552710891,0.8593746135151394,0.004229212539447981,49,0.9590769727573478,0.9732984428998918,0.9712578905454247,0.9693584669772555,0.96663263296674,0.967924881229332,0.004939527793745072
