param_SVM__n_iter,train acc,test acc
1,0.7429837218190147,0.7339832037176408
4,0.8202694689315356,0.8114016132919856
7,0.7658564769849452,0.7514217671443016
10,0.7937124317526172,0.7639866540459139
13,0.7899509013367738,0.7579211737018929
16,0.8098370194223266,0.8006110805430297
19,0.7850015826134775,0.7633362917614452
22,0.7288076611141178,0.7087782394612148
25,0.7907120917391793,0.7507615668566103
28,0.6071572376934861,0.5918686795221261
31,0.7599545785414477,0.7287887380160823
34,0.8153736067053421,0.7956639703510691
37,0.7668369143163126,0.7558007326501542
40,0.8130033004493058,0.7855754494035008
43,0.7812953156749207,0.7437990714330387
46,0.8340243526719364,0.8199434595900503
49,0.7397329644684453,0.7264578339668304
52,0.7434916338323311,0.7124766259584148
55,0.7740818507813835,0.7569349138788224
58,0.7678756267586059,0.7363829737894512
61,0.8266149810101441,0.8052187796238088
64,0.8314310349448886,0.8062756622557277
67,0.811428517219166,0.7947409548344299
70,0.7462127954073792,0.7368530898005906
73,0.6761891510716748,0.6512311909675887
