mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.006250524520874023,0.0076552978508190985,0.0,0.0,1,{'MLP__max_iter': 1},0.4838452134427784,0.5048117180958094,0.49263299612461614,0.4755020383512003,0.49915068699984894,0.4911882203791554,0.010497711572245163,21,0.4916507296485063,0.48698441645472973,0.49075249156682377,0.49757541288485907,0.48833691341834656,0.49105999279465307,0.003658407024366908
0.007554864883422852,0.007007613779071876,0.003125715255737305,0.00625143051147461,2,{'MLP__max_iter': 2},0.49107432449290184,0.5154224938447503,0.5017049172077104,0.48643615682721825,0.5050832955860889,0.499943577857211,0.010298979061948248,20,0.49887184753219593,0.4926001897427487,0.4969040490213129,0.5015781359429569,0.49957305331898166,0.49790545511163914,0.0030447343848835394
0.0180999755859375,0.005041085851361914,0.0006011962890625,0.0005844354896987363,4,{'MLP__max_iter': 4},0.5163231955290537,0.5336570307325059,0.5031959333635311,0.5030638180079521,0.4998175549851527,0.5112210365417895,0.012573831496784097,19,0.5105828081183014,0.5065939136364457,0.5133951583462985,0.5140590800199921,0.5156877445151061,0.5120637409272287,0.0031937321434150636
0.03047943115234375,0.0023604847740770376,0.000902557373046875,0.00020058174188836698,8,{'MLP__max_iter': 8},0.5589743269878497,0.5837051479134641,0.546001308571141,0.5499396044088781,0.5208364789370376,0.5519047863396945,0.02032243867645248,18,0.5506765774507678,0.5454888229907319,0.5539249325894278,0.5551090241643988,0.5601936066105446,0.5530785927611742,0.004875174819113028
0.05594902038574219,0.0006801875629762343,0.0011031627655029297,0.00037524751593127177,16,{'MLP__max_iter': 16},0.6010640952072054,0.6603301963430943,0.5926946499572198,0.5904612713271931,0.5949028637576124,0.6079019299453033,0.02646119975078642,17,0.6066449514980796,0.5951915358098241,0.6121001389731031,0.6107589780228216,0.6133731451321028,0.6076137498871863,0.006609701257169562
0.10949201583862304,0.0018917013906875767,0.0009026050567626954,0.00037542608338954136,32,{'MLP__max_iter': 32},0.6306541752950275,0.6626798145301389,0.6362990085057124,0.6231315113996677,0.6243016759776535,0.6354184146368838,0.014432229291597957,1,0.6353429677711099,0.6287967186589001,0.6378963357790719,0.6396139148582145,0.6362128340955703,0.6355725542325733,0.003690722757131257
0.21547479629516603,0.0015980233900817148,0.0010026454925537109,2.431401974483864e-07,64,{'MLP__max_iter': 64},0.6141937576407774,0.5969654931073701,0.6108196185011826,0.6356384317278171,0.619545523176808,0.6154264549456967,0.012560663404361431,16,0.6235169937288225,0.6162621620158244,0.627537199198437,0.6227741976927644,0.6145345184433133,0.6209250142158323,0.004825752882794649
0.43144912719726564,0.004388576341926943,0.0011029243469238281,0.00020039100720715836,128,{'MLP__max_iter': 128},0.6313340485516828,0.6137440165973029,0.6292276913785292,0.6446034022849665,0.6137198651165131,0.6265248814192129,0.011698647362047085,15,0.6304382130441745,0.6322247219578186,0.6382265339920062,0.6317800308028321,0.6283033530590534,0.632194570571177,0.00331009669119178
0.5705214500427246,0.039554300598968625,0.0009026527404785156,0.00020086790050864877,256,{'MLP__max_iter': 256},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5819517612457276,0.041020370291761345,0.0007022857666015625,0.0002457489184932245,512,{'MLP__max_iter': 512},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5782416820526123,0.04534877104411728,0.0008023738861083985,0.00024574887223184145,1024,{'MLP__max_iter': 1024},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5880680084228516,0.06983839164650839,0.0008023738861083985,0.00024584637189514383,2048,{'MLP__max_iter': 2048},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5618984699249268,0.04162523941934444,0.0007021427154541016,0.00024557368267924426,2100,{'MLP__max_iter': 2100},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5645050048828125,0.03670796243709403,0.0007020950317382813,0.0002455152707302587,2200,{'MLP__max_iter': 2200},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5608955383300781,0.042536811038343406,0.0008025169372558594,0.0002454768157112672,2300,{'MLP__max_iter': 2300},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.568415641784668,0.04336314257011876,0.0007019996643066406,0.0002457878674875182,2400,{'MLP__max_iter': 2400},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5722259044647217,0.04819255867301207,0.0007020473480224609,0.0002456516115490468,2500,{'MLP__max_iter': 2500},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.5689169883728027,0.04950181915557661,0.0009026527404785156,0.0003751836454881884,2600,{'MLP__max_iter': 2600},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
0.6007016658782959,0.05543505053994007,0.0009022235870361328,0.00020053400152598972,2700,{'MLP__max_iter': 2700},0.6423305306753824,0.6079637058977916,0.6316749710604458,0.6485668629523377,0.6204766218732698,0.6302031269258515,0.014668830016872348,2,0.6351196139944291,0.6399882450522106,0.6444403708247357,0.6362762885564188,0.6373299459618676,0.6386308928779324,0.0033213895503676483
