param_MLP__max_iter,train acc,test acc
1,0.5000000000000001,0.49999999999999983
2,0.5937878067961292,0.5946428550957403
4,0.7850677598867991,0.7812815614227561
8,0.789221425753786,0.7824684930305501
16,0.7947016501657673,0.7876798821974375
32,0.7944612660667235,0.7840429315596459
64,0.8000839559628965,0.788177184179423
128,0.8089430852897946,0.7938441755597514
256,0.8089430852897946,0.7938441755597514
512,0.8089430852897946,0.7938441755597514
1024,0.8089430852897946,0.7938441755597514
2048,0.8089430852897946,0.7938441755597514
2100,0.8089430852897946,0.7938441755597514
2200,0.8089430852897946,0.7938441755597514
2300,0.8089430852897946,0.7938441755597514
2400,0.8089430852897946,0.7938441755597514
2500,0.8089430852897946,0.7938441755597514
2600,0.8089430852897946,0.7938441755597514
2700,0.8089430852897946,0.7938441755597514
2800,0.8089430852897946,0.7938441755597514
2900,0.8089430852897946,0.7938441755597514
3000,0.8089430852897946,0.7938441755597514
