,train,train_acc,test_acc,test
0.1,13.159717450289463,0.8029779099987189,0.788499394306481,0.009006520625007397
0.2,13.468404516123883,0.8029395862942136,0.7876151916445994,0.019794776441813156
0.3,12.73372971648132,0.8041919354979518,0.7921123932185827,0.030233678709009837
0.4,11.050217407623677,0.8032161444420538,0.7856540818623639,0.03989174851903954
0.5,9.078420408663987,0.807200176951116,0.7862781284622116,0.05065113214277517
0.6,9.205004128723886,0.8021963434722739,0.772618668131689,0.060247287136917294
0.7,7.52299926921296,0.8234122958860859,0.7901995259403571,0.07045039981585433
0.8,5.767146073413642,0.8238985943903264,0.7827592991897926,0.08021561754776485
0.9,4.971588156753569,0.8588679969148363,0.7705000466225773,0.08834634827690024
