mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.4674746036529545,0.22469312213462378,0.016016149520874025,0.0008093443994084135,0.1,0.2,447,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 447}",0.7413406364110591,0.6880281690140845,0.6847803237334454,0.7183055311676909,0.7250395083406497,0.7114938422212134,0.021850074295608708,29,0.7483484212898835,0.7195691562342036,0.7284465247532972,0.7129382436854272,0.737298818834901,0.7293202329595425,0.01256937722893009
5.020520830154419,0.06781168568908948,0.020048904418945312,0.006144651336591877,0.1,0.7,447,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.7, 'SVM__n_iter': 447}",0.7884194053208138,0.7779342723004695,0.7279272650830355,0.750614574187884,0.7747848990342406,0.7639507096868599,0.021854376839947124,10,0.7604373866215013,0.762787562884721,0.766501469952254,0.7890782066198508,0.7830626905941188,0.7723734633344892,0.011507803862162887
4.942061090469361,0.1780795084751642,0.01873359680175781,0.006260713293444909,0.1,1.2,447,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 447}",0.7977308294209703,0.7882368283776735,0.7432730712634011,0.7378753292361722,0.7673222124670764,0.7669165006230927,0.023696608035045967,8,0.7803438609851048,0.7678413171490656,0.7733914616086914,0.7874579519631877,0.7723010126455173,0.7762671208703134,0.0068825592551249775
5.0957592010498045,0.3733197638967556,0.012796592712402344,0.005645502929898248,0.1,1.6999999999999997,447,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6999999999999997, 'SVM__n_iter': 447}",0.7990871152842983,0.7784820031298905,0.7460409221498142,0.732361720807726,0.7593239683933274,0.7630898186063017,0.023591578112332003,11,0.7756932910564196,0.7596107766741725,0.7774988096226176,0.7708330149943136,0.7694048551975848,0.7706081495090217,0.006257484355765732
4.811714696884155,0.04999098720655803,0.015615129470825195,1.4946848448535967e-05,0.01,0.2,447,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 447}",0.7446791862284821,0.7546948356807512,0.6903160255062715,0.7428797190517998,0.7454345917471467,0.7356048215397154,0.02301272280389014,22,0.7621157713457932,0.7490306069975732,0.7694293614772039,0.7666915153010105,0.7764266863418372,0.7647387882926836,0.009121937928746606
4.418070840835571,0.02010219379240931,0.009375238418579101,0.007654851097823577,0.01,0.7,447,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 0.7, 'SVM__n_iter': 447}",0.8157798643714136,0.7852373500260824,0.7282601079111485,0.7719578577699736,0.7914223002633889,0.7785449378742456,0.028883180250260175,6,0.7977064993096085,0.7894710352810912,0.802827637723387,0.8058177456358449,0.7951575723575497,0.7981960980614963,0.005746994645910942
4.354453134536743,0.03148015704989385,0.00873861312866211,0.007593071437207782,0.01,1.2,447,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 447}",0.8284298382889932,0.799869587897757,0.7443591899656645,0.772361720807726,0.800667251975417,0.7891572572347557,0.028568322631169814,3,0.8028100361717074,0.8005944370408787,0.8188191019530927,0.8068442525436197,0.7984335537330799,0.8055002762884756,0.007217210091758775
4.665127325057983,0.31450981356247953,0.01562948226928711,2.9448314011849425e-06,0.01,1.6999999999999997,447,"{'SVM__alpha': 0.01, 'SVM__gamma_frac': 1.6999999999999997, 'SVM__n_iter': 447}",0.8213875847678666,0.8022170057381325,0.7545897274192417,0.771387181738367,0.8081299385425812,0.7915580331663182,0.024706831586593394,2,0.8006589902995053,0.8021081562495214,0.8196414452273513,0.8084072061767229,0.8012216578222991,0.8064074911550799,0.0071771695065234314
4.659910392761231,0.13988897674058537,0.009679126739501952,0.007306705657737155,0.001,0.2,447,"{'SVM__alpha': 0.001, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 447}",0.7717788210745957,0.7718570683359416,0.7311505851026556,0.7574012291483758,0.7717559262510975,0.7607938969589658,0.015834540986502908,12,0.8761928676308078,0.8831487547785823,0.8855151822260277,0.8803701973556396,0.8766063386937987,0.8803666681369713,0.00362788930504965
4.287253952026367,0.10064541200602628,0.013491058349609375,0.007017642156420559,0.001,0.7,447,"{'SVM__alpha': 0.001, 'SVM__gamma_frac': 0.7, 'SVM__n_iter': 447}",0.8169535732916016,0.8089723526343245,0.7494744586924532,0.7898419666374012,0.8085338015803336,0.7947650699092615,0.02433141481904015,1,0.8369521452470202,0.8132468757316949,0.84190914690349,0.8362418605260343,0.8313499902861122,0.8319400037388703,0.009927663373813133
4.634458684921265,0.19177757558756608,0.016447925567626955,0.0013062854830175588,0.001,1.2,447,"{'SVM__alpha': 0.001, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 447}",0.8014866979655713,0.750339071465832,0.7598276224511247,0.7814398595259,0.800702370500439,0.7787482970744181,0.020846235305085548,4,0.8149247133944729,0.7743748728081981,0.8341432995950534,0.8169592475120441,0.8153013378970415,0.8111406942413619,0.019729829180494145
