mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.006682586669921875,0.008212906438609538,0.003325796127319336,0.006162448616986384,1,{'MLP__max_iter': 1},0.4838452134427784,0.5048117180958094,0.49263299612461614,0.4755020383512003,0.49915068699984894,0.4911882203791554,0.010497711572245163,21,0.49188350432262173,0.48698441645472973,0.49075249156682377,0.49780807924130394,0.48856957977479154,0.49119961427205416,0.003715492098243983
0.00825657844543457,0.006572511824409316,0.00020055770874023439,0.00040111541748046877,2,{'MLP__max_iter': 2},0.49107432449290184,0.5154224938447503,0.5017049172077104,0.4855050581307565,0.5050832955860889,0.49975752108735205,0.01054674755859126,20,0.49887184753219593,0.4934433600631534,0.4969040490213129,0.5013454695865119,0.49957305331898166,0.4980275559044312,0.002697667920276214
0.013303422927856445,0.004646492011734704,0.0,0.0,4,{'MLP__max_iter': 4},0.5163231955290537,0.5336570307325059,0.5031959333635311,0.5064421963863305,0.4998175549851527,0.5118961209026965,0.01220297376471241,19,0.5111932037645905,0.5065939136364457,0.5129298256334087,0.5135937473071024,0.5156877445151061,0.5119996869713307,0.0030620501381224794
0.023614788055419923,0.006540658326746269,0.0005011558532714844,0.00044830075629934124,8,{'MLP__max_iter': 8},0.5574773583493426,0.5837051479134641,0.546001308571141,0.5499396044088781,0.5208364789370376,0.5516047812479051,0.02022668565372871,18,0.5520732254954607,0.5429593120295176,0.5533158481041217,0.5549652723919825,0.5601936066105446,0.5527014529263254,0.0056024763416491485
0.05614972114562988,0.0017936027795227387,0.000902557373046875,0.0002005818552454498,16,{'MLP__max_iter': 16},0.5986377585389586,0.6593990976466325,0.591763551260758,0.5885990739342694,0.5967650611505358,0.6070432865369211,0.026428144502778205,17,0.6075760501945415,0.5948136982023091,0.6131745561712988,0.6116896434486011,0.6168290630831347,0.6088166022199771,0.00760349850901123
0.11370306015014649,0.005046993172870748,0.0009024620056152343,0.00020041525321289253,32,{'MLP__max_iter': 32},0.6312217759037949,0.6608176171372153,0.6402624691730835,0.6212693140067441,0.6239556595701845,0.6355102519503486,0.014267777542353912,1,0.6335376883001874,0.6271382352041068,0.6323464206200362,0.6367330039968476,0.635658586798652,0.6330827869839661,0.0033480052395216046
0.22269372940063475,0.014656039974212994,0.0010025501251220703,2.132480599880018e-07,64,{'MLP__max_iter': 64},0.6205433996157781,0.6094572132028546,0.6234020333182343,0.6426342543660979,0.6225778851477175,0.6237169405435099,0.010700442572377239,16,0.6280794558489641,0.6233555432268979,0.6349351276061374,0.6244784591690129,0.6245466139602948,0.6270790399622614,0.004236970022800252
0.43114686012268066,0.008145376776344117,0.0010028362274169921,1.784161275279017e-07,128,{'MLP__max_iter': 128},0.6242608717347371,0.6189619186882132,0.6196776385323871,0.6436723035885046,0.6266482963410337,0.6266405742264579,0.00897704567783891,15,0.6400907075408003,0.6350445754211732,0.6422026218443156,0.6356672040711129,0.6298638627628855,0.6365737943280575,0.004295019807223254
0.7132015228271484,0.053005877884628995,0.0008021831512451172,0.0002456904834245336,256,{'MLP__max_iter': 256},0.6343279858286969,0.6228800319948008,0.6245721978962202,0.641810106195581,0.6281644773264884,0.6303511007830445,0.0069431241569394555,2,0.6399458612427419,0.6430984410177054,0.6419699554878707,0.6472738866875675,0.6312598609015546,0.640709601067488,0.00529652306703696
0.7053801059722901,0.059691073786862954,0.0007019519805908203,0.0002455347182296647,512,{'MLP__max_iter': 512},0.6343279858286969,0.6228800319948008,0.6245721978962202,0.641810106195581,0.6281644773264884,0.6303511007830445,0.0069431241569394555,2,0.6399458612427419,0.6430984410177054,0.6419699554878707,0.6472738866875675,0.6312598609015546,0.640709601067488,0.00529652306703696
0.6994652271270752,0.04466250143982651,0.0006016731262207031,0.00020067705257747093,1024,{'MLP__max_iter': 1024},0.6343279858286969,0.6228800319948008,0.6245721978962202,0.641810106195581,0.6281644773264884,0.6303511007830445,0.0069431241569394555,2,0.6399458612427419,0.6430984410177054,0.6419699554878707,0.6472738866875675,0.6312598609015546,0.640709601067488,0.00529652306703696
0.6960561752319336,0.053143917986663826,0.0006016731262207031,0.00020031943204312203,2048,{'MLP__max_iter': 2048},0.6343279858286969,0.6228800319948008,0.6245721978962202,0.641810106195581,0.6281644773264884,0.6303511007830445,0.0069431241569394555,2,0.6399458612427419,0.6430984410177054,0.6419699554878707,0.6472738866875675,0.6312598609015546,0.640709601067488,0.00529652306703696
0.6916442394256592,0.04450513309930217,0.0008022785186767578,0.00024557368267924426,2100,{'MLP__max_iter': 2100},0.6343279858286969,0.6228800319948008,0.6245721978962202,0.641810106195581,0.6281644773264884,0.6303511007830445,0.0069431241569394555,2,0.6399458612427419,0.6430984410177054,0.6419699554878707,0.6472738866875675,0.6312598609015546,0.640709601067488,0.00529652306703696
0.6982622623443604,0.05253520359842618,0.0006015300750732422,0.00020074861349791815,2200,{'MLP__max_iter': 2200},0.6343279858286969,0.6228800319948008,0.6245721978962202,0.641810106195581,0.6281644773264884,0.6303511007830445,0.0069431241569394555,2,0.6399458612427419,0.6430984410177054,0.6419699554878707,0.6472738866875675,0.6312598609015546,0.640709601067488,0.00529652306703696
