param_MLP__max_iter,train acc,test acc
1,0.4942448916514301,0.4993202961215933
2,0.5021936646643372,0.5002538653039832
4,0.5213526060053828,0.5248460429769393
8,0.5657989013613566,0.5812041404612159
16,0.6137710159296583,0.6245987290356394
32,0.6361622509046609,0.6281282756813418
64,0.6344949252688895,0.6379635089098533
128,0.6369856277834754,0.6402974318658281
256,0.6403995560488347,0.6345486111111112
512,0.6403995560488347,0.6345486111111112
1024,0.6403995560488347,0.6345486111111112
2048,0.6403995560488347,0.6345486111111112
2100,0.6403995560488347,0.6345486111111112
2200,0.6403995560488347,0.6345486111111112
2300,0.6403995560488347,0.6345486111111112
2400,0.6403995560488347,0.6345486111111112
2500,0.6403995560488347,0.6345486111111112
2600,0.6403995560488347,0.6345486111111112
2700,0.6403995560488347,0.6345486111111112
2800,0.6403995560488347,0.6345486111111112
2900,0.6403995560488347,0.6345486111111112
