param_Boost__n_estimators,train acc,test acc
1,0.8474683605880257,0.8198723184612757
2,0.8474683605880257,0.8198723184612757
5,0.9378469854444113,0.8673434782708381
10,0.9624573223460426,0.8889628092517887
20,0.969740877628763,0.8946220768605548
30,0.969740877628763,0.8946220768605548
40,0.969740877628763,0.8946220768605548
